Título,Fecha,URL_PDF
Exploring the Productivity and Climate Change Mitigation Potential of Transitions From Pasture to Silvopasture in the Eastern United States,"March 9, 2026",https://files.wri.org/d8/s3fs-public/2026-02/exploring-the-productivity-and-climate-change-mitigation-potential-of-transitions-from-pasture-to-silvopasture-in-the-eastern-united-states.pdf?VersionId=8Hdl0coHMPBH1xWT5pQRPQepWoLR8shh
"Carbon Opportunity Cost Calculation Tool, Version 1.0","March 3, 2026",https://files.wri.org/d8/s3fs-public/2026-03/carbon-opportunity-cost-calculation-tool.pdf?VersionId=XA0jGpuvYbP75nAKW_Lw_wctgeHozcci
Emerging Green Standards for Cement and Steel Decarbonization,"February 20, 2026",https://files.wri.org/d8/s3fs-public/2026-02/emerging-green-standards-for-cement-and-steel-decarbonization.pdf?VersionId=427IAt59ZaTe6K.F8mwmrFuND35rG8ME
"Transparency, Participation, and Accountability in Financing Climate Action","February 17, 2026",https://files.wri.org/d8/s3fs-public/2026-02/transparency-participation-accountability-financing-climate-action.pdf?VersionId=acQb64hq01ac.4HTwA6ACSOmbqo1IS3_
A Playbook for Food Retailers to Reduce Consumer Food Waste,"February 4, 2026",https://files.wri.org/d8/s3fs-public/2026-02/a-playbook-for-food-retailers-to-reduce-consumer-food-waste.pdf?VersionId=gaGSZ2ACSwrxv4XsUl3JP5DfQb5_q1h6
Beef Purchasing in Food Service: Considerations for Companies on Balancing Climate and Other Priorities,"January 15, 2026",https://files.wri.org/d8/s3fs-public/2026-01/beef-purchasing-food-service.pdf?VersionId=_VZbI7U6UAQsb800tIx2MbQYXZvSrusy
"Land Restoration From Planting to Proof: A Guide to Monitoring, Reporting, and Verification","January 12, 2026",https://files.wri.org/d8/s3fs-public/2026-01/land-restoration-from-planting-to-proof.pdf?VersionId=nQtMOUt205LQomyEWp8r4weFj3yzoVSt
Connecting Climate Action and Environmental Human Rights Defense,"December 31, 2025",https://files.wri.org/d8/s3fs-public/2025-12/connecting-climate-action-and-environmental-human-rights-defense.pdf?VersionId=ZeQ.c2mFb1TYi09DV44uR7s8EF3ZFl1Z
"Community power for clean air: Lessons in Equity and Inclusion from Nairobi, Indore and Jakarta","December 18, 2025",https://files.wri.org/d8/s3fs-public/2025-12/community-power-for-clean-air.pdf?VersionId=77buJnSVdoM0hRxMSrhKxPF5j_QWhgfO
Jobs and Skills for the New Economy: An Action Agenda for a People-Centered Climate Transition,"December 17, 2025",https://files.wri.org/d8/s3fs-public/2025-12/jobs-and-skills-for-the-new-economy-an-action-agenda-for-a-people-centered-climate-transition.pdf?VersionId=Bb0p1YbaJCGKqWrgdVg2CcphzLO4x_H0
"Transfer Learning To Detect Natural, Monoculture, and Agroforestry Tree-Based Systems in Ghana Using Remote Sensing","December 12, 2025",https://files.wri.org/d8/s3fs-public/2025-12/transfer-learning-to-detect-natural-monoculture-and-agroforestry-tree-based-systems-in-ghana-using-remote-sensing.pdf?VersionId=GYCsiHkDwZEQu80Kb4sXniXpZnNQIVFl
Geospatial Methods for Corporate GHG Accounting of Deforestation and Land Occupation,"December 5, 2025",https://files.wri.org/d8/s3fs-public/2025-12/geospatial-methods-for-corporate-ghg-accounting-of-deforestation-and-land-occupation.pdf?VersionId=S9LfUCZDw1NW5mYAxRXgtdGYtA5xNiJf
Policy Logics and Design Frameworks in Four International Interventions on Electricity Access in Africa: A Text-Based Analysis,"December 5, 2025",https://wri.org.cn/sites/default/files/2025-12/25_wp_policy-logics-and-design-frameworks-in-four-international-inter.pdf
Statistical Land Use Change Emissions From Deforestation and Land Occupation for Crops,"December 5, 2025",https://files.wri.org/d8/s3fs-public/2025-12/statistical-land-use-change-emissions-from-deforestation-and-land-occupation-for-crops.pdf?VersionId=eaJ4xINds76.fOqvWmOkJotlkaAdHm_y
